"","IGF2R"
"AMOTL1",0.622841368236082
"IGFBP4",0.622667353691762
"STEAP4",0.622405345945232
"SLC25A3",0.622397293506601
"MMP19",0.62237994867151
"CARD6",0.622264395884265
"ASPN",0.622246779881944
"POR",0.621970857770407
"NEXN",0.621306750656954
"F2R",0.6210243105602
"AOX1",0.620982079225394
"FASTKD2",0.620982079225394
"TSC22D3",0.620908304766155
"WNT11",0.620526473859894
"MYL12A",0.62052404960733
"SGCA",0.620494965811496
"RPS5",0.620476017712477
"ARNT",0.620447775535697
"OSMR",0.620355025511175
"DDX54",0.619896255078081
"MAF1",0.619001891140633
"ITGA1",0.618909189713004
"PALMD",0.61885088679185
"EHBP1L1",0.618845181043159
"TMEM204",0.618815459592668
"FLAD1",0.618787985150878
"RNF122",0.618559177674924
"ERGIC1",0.618329428466933
"ARHGAP10",0.618157808664663
"PSTPIP2",0.618030699930891
"PIM3",0.618022876236698
"RPL39",0.617642135916143
"UBE2D3",0.617632949269173
"CTDNEP1",0.617575728335647
"RRP15",0.617378079087358
"NIBAN1",0.617221096750379
"DDX3X",0.617161816967612
"ACADVL",0.61682559370364
"SLK",0.616502522931016
"THBS1",0.61641006377327
"CAV1",0.616297242860256
"DHODH",0.616094457423863
"RPS26",0.615912987701431
"NEURL2",0.615624964898736
"SLC39A1",0.615543511675891
"LRRFIP1",0.615240541173488
"TBRG4",0.615155526888112
"ISM1",0.615085203022072
"GTF2IRD2",0.614739724888505
"SLC43A1",0.614675161803864
"CLEC14A",0.614636383715737
"DNPEP",0.613714431635368
"HYAL1",0.613584497277421
"MMADHC",0.612907110939076
"SLC2A4RG",0.612709561836728
"AK2",0.612493413120182
"CES1",0.612149311049926
"EIF4B",0.612147863569222
"LAMB1",0.612037099163028
"MAPK14",0.611985117332075
"ITGA9",0.611879720049465
"DRG2",0.611740971309379
"PML",0.611676851302118
"EIF4EBP2",0.61109111113682
"NOL10",0.610973647088156
"RIPK1",0.610613304041472
"SNRPB",0.610533415477883
"HYAL2",0.610500041623143
"COL6A2",0.61048538358303
"TFPI",0.610418632316201
"ST3GAL1",0.609832848225012
"TGFBR2",0.609779545901322
"C1orf174",0.609450824707688
"IRS1",0.609219977594292
"ACKR3",0.60916035325631
"NHLRC2",0.609159515878856
"SUCLG2",0.609107083227622
"TNXB",0.609074753003452
"EHD2",0.608953589171281
"USP19",0.608805309679835
"RBMS3",0.608787565938271
"ATF7",0.608785469466126
"KLF4",0.608785469466126
"ASCC2",0.608714453232381
"MED12",0.608301905097558
"PREB",0.60829571686798
"PCOLCE",0.608127593125804
"NCK1",0.608055540093444
"COL15A1",0.608018834105345
"AVEN",0.607346193751534
"MAP2K3",0.607267246627871
"PLIN4",0.607229502998019
"EIF4A1",0.606882991469046
"DDI2",0.606728372749557
"STIMATE",0.606553439048828
"RARS2",0.606427445409574
"SLC16A7",0.606303345326362
"SNX33",0.60604314411337
"RDH14",0.605823284223993
"LIMS2",0.60556717796745
"THOC6",0.605548883715877
"RECK",0.605112687081092
"ALS2CL",0.605088043992312
"STYX",0.60504212293341
"MOB3C",0.605039395567455
"XG",0.604987583530424
"NOP14",0.604837742676814
"LTBP4",0.604640009752331
"HSPB7",0.604534975887956
"CEBPD",0.60427976189142
"POLR3E",0.604203699952614
"WDR46",0.604155166458831
"DVL3",0.604036037604833
"RUFY1",0.604035075187769
"COL4A2",0.60391951403051
"SPNS1",0.60324247279876
"HTRA3",0.603108262237071
"BYSL",0.60282105543404
"ASB9",0.60273672497895
"COLGALT1",0.602719001296133
"EEA1",0.602412558685032
"ERN1",0.602334690770459
"ACACB",0.602219244472213
"MRC1",0.602137882030461
"RBMS1",0.602017541833927
"AFF1",0.601796697627815
"MAP7D3",0.6017871313456
"FBXO38",0.601734409532046
"MAP3K14",0.601600456979745
"DMAC2",0.601518208897857
"KLF6",0.601493845100379
"MAFB",0.601417085478617
"STN1",0.601306572728975
"E2F4",0.600638907135505
